#{"t_start": 1699932021.0722895, "env_id": null}
r,l,t
397.41347,300,4733.892292
376.744011,300,4735.028356
361.476374,300,4736.140296
481.746293,300,4737.262657
499.570772,300,4738.395018
391.418925,300,4741.353053
492.934651,300,4742.483347
446.989494,300,4743.590037
354.061942,300,4744.722625
407.127947,300,4745.845088
495.240105,300,4746.98612
502.208897,300,4748.091597
465.845344,300,4751.233687
479.092766,300,4752.355445
523.509183,300,4753.450259
445.694315,300,4754.585877
435.747621,300,4755.69019
427.963958,300,4756.813997
376.451155,300,4757.91929
392.493686,300,4760.837135
545.908125,300,4761.974629
433.209476,300,4763.095336
421.583095,300,4764.215354
343.997581,300,4765.32478
400.949535,300,4766.431406
431.75753,300,4767.552371
368.811263,300,4770.433792
430.662404,300,4771.556607
484.59062,300,4772.69576
401.409423,300,4773.83058
489.221767,300,4774.961236
356.637656,300,4776.096638
360.593789,300,4779.074415
410.140244,300,4780.209545
357.035346,300,4781.330319
481.378561,300,4782.448309
366.717919,300,4783.585856
475.849941,300,4784.73551
433.170263,300,4785.872048
409.756713,300,4788.893833
406.945605,300,4790.012167
423.370874,300,4791.144035
454.910638,300,4792.271901
389.872303,300,4793.404675
424.882413,300,4794.526972
410.748487,300,4795.648507
435.999185,300,4798.590166
473.099863,300,4799.712189
523.486332,300,4800.831647
355.752532,300,4801.966574
463.357068,300,4803.086178
469.505967,300,4804.214871
369.80151,300,4805.326616
457.921548,300,4808.263404
484.755143,300,4809.406404
498.712474,300,4810.540092
401.126498,300,4811.663707
462.276063,300,4812.79768
566.143584,300,4813.93676
493.809559,300,4815.039819
485.175195,300,4817.965666
422.537138,300,4819.085159
501.405791,300,4820.229851
498.739526,300,4821.360659
481.399852,300,4822.480174
495.209267,300,4823.611028
398.498352,300,4824.75301
423.457183,300,4827.715647
413.352578,300,4828.83663
327.209095,300,4829.97367
542.666104,300,4831.080428
507.141918,300,4832.217199
414.371596,300,4833.322771
500.229398,300,4836.261883
443.202716,300,4837.367657
431.332996,300,4838.49868
404.998613,300,4839.636931
340.114067,300,4840.745756
463.269172,300,4841.902442
468.142854,300,4843.024143
427.679474,300,4845.958411
429.261385,300,4847.076579
450.656397,300,4848.207129
489.174479,300,4849.344542
477.594502,300,4850.473535
490.047046,300,4851.611538
447.216313,300,4852.735519
429.756058,300,4855.674809
507.263331,300,4856.79341
504.616584,300,4857.915974
450.24928,300,4859.049018
451.703706,300,4860.185359
480.479947,300,4861.321946
370.385626,300,4862.459232
433.03756,300,4865.53752
440.150514,300,4866.36971
357.082538,300,4867.203422
520.062607,300,4868.93248
445.027723,300,4869.767054
534.879898,300,4870.60091
334.648749,300,4871.44535
373.823676,300,4873.85114
432.404222,300,4874.697369
494.948373,300,4875.531808
511.257236,300,4876.365391
466.697898,300,4877.199201
372.711131,300,4878.03259
528.676352,300,4879.561106
474.094978,300,4880.394672
421.345059,300,4881.228992
459.932335,300,4882.062719
437.702782,300,4882.896801
469.986171,300,4883.72948
406.432707,300,4884.563104
519.525192,300,4886.127727
527.444721,300,4886.960942
445.32341,300,4887.794988
477.820242,300,4888.628249
525.075829,300,4889.463004
385.127439,300,4890.29593
453.944774,300,4891.129927
483.149156,300,4892.797907
407.919502,300,4893.931216
500.090596,300,4895.047036
399.061603,300,4896.170473
350.929785,300,4897.293014
405.806991,300,4898.437925
496.417945,300,4899.558678
489.245441,300,4901.426138
349.062151,300,4902.540283
333.303596,300,4903.675102
507.454268,300,4904.808423
449.725301,300,4905.94288
509.757708,300,4907.077741
482.198544,300,4908.214284
424.232207,300,4910.048573
527.382594,300,4911.183684
397.454367,300,4912.30581
520.603237,300,4913.439616
403.703145,300,4914.563595
487.467944,300,4915.701634
532.582832,300,4916.840079
399.53703,300,4918.711356
421.627042,300,4919.849685
450.949127,300,4920.973843
507.19801,300,4922.093134
451.258705,300,4923.224134
412.330335,300,4924.341031
542.625608,300,4926.159271
388.527377,300,4927.278511
359.431663,300,4928.427362
496.074398,300,4929.545679
407.813743,300,4930.665055
395.167839,300,4931.800526
528.171586,300,4932.906492
497.99673,300,4934.686624
392.046377,300,4935.794884
531.139214,300,4936.918785
457.10062,300,4938.054466
423.617377,300,4939.173754
470.215956,300,4940.290829
477.788543,300,4941.421511
462.629873,300,4943.326246
486.326209,300,4944.443174
567.618225,300,4945.576723
472.204365,300,4946.699074
384.908715,300,4947.817987
452.876837,300,4948.955349
416.196946,300,4950.089602
532.699556,300,4951.904571
412.492249,300,4953.037895
367.342561,300,4954.154296
451.606153,300,4955.288447
416.556534,300,4956.384001
453.349469,300,4957.533874
412.726405,300,4958.668602
462.336621,300,4960.510915
412.399973,300,4961.65107
415.090942,300,4962.765843
492.251414,300,4963.880344
524.001652,300,4965.003643
497.656906,300,4966.115797
472.132751,300,4967.241788
485.884531,300,4969.094829
374.384307,300,4970.22074
435.755744,300,4971.315568
514.181474,300,4972.467274
455.504019,300,4973.605687
369.683611,300,4974.731788
419.545904,300,4976.620993
452.180118,300,4977.748084
388.231379,300,4978.885861
492.375119,300,4980.021391
506.558202,300,4981.1602
443.367212,300,4982.283948
369.765724,300,4983.420313
498.313735,300,4985.253292
362.837366,300,4986.389227
331.935181,300,4987.5417
