rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/iterations,train/entropy_loss,train/learning_rate,train/clip_fraction,train/n_updates,train/explained_variance,train/policy_gradient_loss,train/clip_range,train/value_loss,train/loss,train/std,train/approx_kl
300.0,280,378.90214865,846,237568,116,-10.556971660256385,0.0003,0.195068359375,1150,0.8499548584222794,-0.0170155765110394,0.2,119.25206580758095,11.348907470703125,0.9028850793838501,0.027337862
300.0,280,380.03970337,853,239616,117,-10.53624432682991,0.0003,0.294580078125,1160,0.8098286241292953,-0.004073715716367587,0.2,160.16424894332886,19.56844711303711,0.9067099690437317,0.042231187
300.0,280,382.72210155,861,241664,118,-10.538988438248634,0.0003,0.27060546875,1170,0.6824398636817932,-0.010300957128492882,0.2,164.9572395801544,36.9625129699707,0.9027237296104431,0.030012593
300.0,280,377.75988145999986,867,243712,119,-10.511965015530587,0.0003,0.2318359375,1180,0.2898041605949402,-0.012965985514165368,0.2,177.8164116382599,53.205116271972656,0.89947509765625,0.026441641
300.0,280,378.38377141000007,875,245760,120,-10.49797164797783,0.0003,0.180517578125,1190,0.83233542740345,-0.012890500635694479,0.2,125.84427490234376,56.449745178222656,0.8985829949378967,0.032586977
300.0,280,377.13291136999993,882,247808,121,-10.496214908361434,0.0003,0.162451171875,1200,0.7633837759494781,-0.010948748672672082,0.2,171.20918142795563,32.73732376098633,0.8995459079742432,0.024773985
300.0,280,371.0034888099999,889,249856,122,-10.501427349448203,0.0003,0.202392578125,1210,0.7703723907470703,-0.009936678694793954,0.2,149.79512844085693,94.3210220336914,0.9000855684280396,0.029203895
300.0,280,373.15500986000006,896,251904,123,-10.519574484229087,0.0003,0.212548828125,1220,0.8492010235786438,-0.007605333775427425,0.2,139.27244260311127,23.78685760498047,0.9025201201438904,0.03231313
300.0,280,378.2835149799999,904,253952,124,-10.518062889575958,0.0003,0.3755859375,1230,0.40619033575057983,0.007311950098664965,0.2,210.7542339324951,215.60958862304688,0.8998668789863586,0.054812647
300.0,280,377.31369849000004,911,256000,125,-10.495232990384102,0.0003,0.2345703125,1240,0.09982633590698242,-0.009424479765220895,0.2,202.26326688528061,57.333858489990234,0.8980824947357178,0.033389967
300.0,280,373.8556736900001,918,258048,126,-10.490208089351654,0.0003,0.15576171875,1250,0.4619066119194031,-0.009189792832330568,0.2,190.60201919078827,126.67224884033203,0.8996739387512207,0.021290965
300.0,280,372.15924254,926,260096,127,-10.495109662413597,0.0003,0.216259765625,1260,0.43924176692962646,-0.009669217614282388,0.2,158.4114018499851,18.480440139770508,0.8998275399208069,0.03038662
300.0,280,370.27394268000006,933,262144,128,-10.478883534669876,0.0003,0.325390625,1270,0.7023277282714844,-0.0055559467771672645,0.2,141.98127646446227,76.32452392578125,0.8960044384002686,0.04824666
300.0,280,366.06676591999997,940,264192,129,-10.45628776550293,0.0003,0.241357421875,1280,0.7102474868297577,-0.006081734181498178,0.2,170.3567213475704,34.78474426269531,0.8948523998260498,0.035372462
300.0,280,371.15835364,948,266240,130,-10.446090465784073,0.0003,0.187060546875,1290,0.81163589656353,-0.012697992677567526,0.2,125.64817718863488,119.6084976196289,0.8935612440109253,0.024933338
300.0,280,371.8566123,955,268288,131,-10.441009053587914,0.0003,0.280322265625,1300,-0.025954127311706543,-0.005012274684122531,0.2,187.4479969203472,82.81238555908203,0.893880307674408,0.050898623
300.0,280,367.9833861499999,962,270336,132,-10.448541688919068,0.0003,0.316796875,1310,0.4978785514831543,-0.0018039968577795661,0.2,166.18214617371558,141.4656982421875,0.8963848948478699,0.045245428
300.0,280,362.55450193,970,272384,133,-10.480233725905418,0.0003,0.4052734375,1320,0.5071232616901398,0.005194752008537762,0.2,132.37889071106912,63.060577392578125,0.8991909027099609,0.09509285
300.0,280,365.64474028999996,977,274432,134,-10.498123404383659,0.0003,0.196240234375,1330,0.6557577848434448,-0.006831628102372633,0.2,153.16591503024102,29.154449462890625,0.9009361863136292,0.030784346
300.0,280,358.93880484999994,984,276480,135,-10.512497374415398,0.0003,0.144921875,1340,0.809684619307518,-0.014029361943539698,0.2,132.98389716744424,20.943254470825195,0.9019019603729248,0.027431063
300.0,280,362.3923026999999,991,278528,136,-10.5089713037014,0.0003,0.203759765625,1350,0.8399379849433899,-0.009106603964755777,0.2,141.47688364982605,27.41963768005371,0.9009724855422974,0.029329501
300.0,280,364.66890401999996,998,280576,137,-10.517122501134873,0.0003,0.169580078125,1360,0.575122058391571,-0.008617249940289184,0.2,172.4851575255394,95.06539916992188,0.9029239416122437,0.026444728
300.0,280,365.34685305999994,1006,282624,138,-10.536508125066756,0.0003,0.333056640625,1370,0.4260646104812622,-0.010119602835038677,0.2,176.51474484801292,18.426294326782227,0.9062476754188538,0.043195248
300.0,280,363.20737756,1013,284672,139,-10.564920482039451,0.0003,0.204345703125,1380,0.32695502042770386,-0.011637248392798939,0.2,180.69867206811904,21.412099838256836,0.9088352918624878,0.021441028
300.0,280,358.7882221599999,1020,286720,140,-10.563203033804893,0.0003,0.270849609375,1390,0.4409610629081726,-0.004291003871185239,0.2,171.50586527585983,80.7071533203125,0.9063640832901001,0.047730904
300.0,280,357.39693052,1027,288768,141,-10.538688877224923,0.0003,0.280078125,1400,0.8576622605323792,-0.005229344256804325,0.2,141.7699711561203,18.363052368164062,0.9039694666862488,0.0529261
300.0,281,356.00473400000004,1034,290816,142,-10.532377177476883,0.0003,0.224365234375,1410,0.8158481568098068,-0.00746323994899285,0.2,156.8570477604866,57.649200439453125,0.9038316607475281,0.032138996
300.0,281,352.70120059,1042,292864,143,-10.524638256430626,0.0003,0.125439453125,1420,0.7118988931179047,-0.0121409561674227,0.2,171.8341610789299,23.4923095703125,0.9022961258888245,0.017818488
300.0,281,353.93141745,1049,294912,144,-10.50001176893711,0.0003,0.194970703125,1430,0.7788556963205338,-0.005258901329943911,0.2,149.1802783548832,90.58867645263672,0.8972794413566589,0.03574508
300.0,281,351.90257782000003,1056,296960,145,-10.477751567959785,0.0003,0.356201171875,1440,0.6470613479614258,-0.0007405787153402343,0.2,139.47097185254097,10.97349739074707,0.8983240723609924,0.05091411
300.0,281,350.89121423999995,1063,299008,146,-10.473834696412087,0.0003,0.195068359375,1450,0.4124212861061096,-0.009003873008623486,0.2,187.89462090730666,39.0426139831543,0.8967643976211548,0.028035302
300.0,281,354.68528339000005,1071,301056,147,-10.468212187290192,0.0003,0.2009765625,1460,0.6374661326408386,-0.008227555510529783,0.2,159.52759107351304,38.7864875793457,0.8979518413543701,0.026898399
300.0,281,358.2973400799999,1078,303104,148,-10.476961275935173,0.0003,0.203759765625,1470,0.593892514705658,-0.008069096534018171,0.2,154.70780567526816,32.66592788696289,0.8987960815429688,0.029187102
300.0,281,361.33565511,1085,305152,149,-10.485555413365365,0.0003,0.2076171875,1480,0.7440737187862396,-0.009325027313752798,0.2,151.1633803963661,139.5635986328125,0.8994653224945068,0.026979772
300.0,281,360.15040997000006,1092,307200,150,-10.495114380121231,0.0003,0.21181640625,1490,0.6872206628322601,-0.007335919131583069,0.2,142.81048934459687,85.1026840209961,0.9003143310546875,0.03215176
300.0,281,356.51173660999996,1100,309248,151,-10.4827991604805,0.0003,0.177001953125,1500,0.7820714116096497,-0.010651360248448326,0.2,148.72080075740814,62.92106246948242,0.8975454568862915,0.028437687
300.0,281,356.58560847000007,1107,311296,152,-10.470266699790955,0.0003,0.24013671875,1510,0.8456585854291916,-0.01013738110923441,0.2,133.93836042284966,34.676998138427734,0.8981497883796692,0.03908779
300.0,281,352.96761304,1114,313344,153,-10.477899479866029,0.0003,0.238037109375,1520,0.6749462783336639,-0.005576081448816694,0.2,170.7794170677662,63.044193267822266,0.8980264067649841,0.04710206
300.0,281,355.33257004000006,1122,315392,154,-10.489287638664246,0.0003,0.29375,1530,0.3919020891189575,-0.011675364237453323,0.2,200.97971764206886,58.856346130371094,0.9008557796478271,0.045589454
300.0,281,352.79346962999995,1129,317440,155,-10.49367047548294,0.0003,0.278173828125,1540,0.6261976361274719,-0.008825960337708239,0.2,160.67212483882903,26.768321990966797,0.8992873430252075,0.037771706
300.0,281,357.09874547,1136,319488,156,-10.493804600834846,0.0003,0.2314453125,1550,0.856410875916481,-0.012883830253849737,0.2,138.26411402225494,14.732080459594727,0.9008862972259521,0.037626624
300.0,281,355.01499652000007,1144,321536,157,-10.513475167751313,0.0003,0.24296875,1560,0.249137282371521,-0.009973420845926739,0.2,174.43553068637848,85.92460632324219,0.9029266238212585,0.036085762
300.0,280,361.05263716,1151,323584,158,-10.530231714248657,0.0003,0.21689453125,1570,0.7526801228523254,-0.0075186268804827705,0.2,146.74054526090623,31.041715621948242,0.904712975025177,0.039919768
300.0,280,361.67899898999997,1158,325632,159,-10.541584503650665,0.0003,0.177880859375,1580,0.3853384256362915,-0.004324041322252015,0.2,177.5015666127205,47.988468170166016,0.9055042862892151,0.030390633
300.0,280,357.70526212,1166,327680,160,-10.531747734546661,0.0003,0.311279296875,1590,0.5360238552093506,0.0006424398350645788,0.2,182.76922724246978,129.49098205566406,0.9027566313743591,0.048888706
