rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_rew_mean,time/iterations,train/explained_variance,train/learning_rate,train/n_updates,train/value_loss,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/clip_fraction,train/loss,train/entropy_loss,train/std
300.0,102400,372,274,439.34972560999995,50,0.09078896045684814,0.0003,73840,333.36738963127135,0.2,-0.011228978948201985,0.026303645,0.11259765625,276.4332580566406,-27.82807983160019,10.813529014587402
300.0,104448,379,275,436.1845033,51,-0.02014172077178955,0.0003,73850,353.07899035215377,0.2,-0.013137760409153997,0.038980417,0.153369140625,223.14610290527344,-27.83633202314377,10.817015647888184
300.0,106496,386,275,437.42826662000004,52,0.6687433421611786,0.0003,73860,320.99291118383405,0.2,-0.01225632643472636,0.050797537,0.181591796875,147.53085327148438,-27.84667746424675,10.838136672973633
300.0,108544,394,275,441.13116346000004,53,0.27904731035232544,0.0003,73870,263.2830652117729,0.2,-0.015419246266537812,0.05853224,0.139794921875,203.34585571289062,-27.83416554927826,10.766669273376465
300.0,110592,401,275,441.80741737999995,54,0.7273955047130585,0.0003,73880,288.9806363224983,0.2,-0.012495278575806878,0.030045452,0.111767578125,145.4976806640625,-27.841314232349397,10.789965629577637
300.0,112640,408,275,439.90518210999994,55,0.011513590812683105,0.0003,73890,338.22910966873167,0.2,-0.011193263217865023,0.018675197,0.0859375,150.90086364746094,-27.866100877523422,10.82559585571289
300.0,114688,415,275,439.05605921999995,56,0.4091765880584717,0.0003,73900,311.40700485706327,0.2,-0.008048035527463072,0.092009634,0.137646484375,212.21563720703125,-27.88707082271576,10.852208137512207
300.0,116736,423,275,432.97626383000005,57,-0.037111520767211914,0.0003,73910,329.7219952583313,0.2,-0.011764725115790497,0.04229162,0.13232421875,146.2490997314453,-27.901185554265975,10.85692310333252
300.0,118784,430,275,434.05286325999987,58,0.8724331855773926,0.0003,73920,247.5386041045189,0.2,-0.007659756224893499,0.06615027,0.152197265625,144.5751953125,-27.869821614027025,10.790205001831055
298.81,120832,437,276,485.21103890000006,59,-0.006580233573913574,0.0003,73930,305.9016311645508,0.2,-0.012296213155786972,0.033573575,0.161962890625,209.74862670898438,-27.845649141073228,10.829479217529297
298.81,122880,445,276,555.86360663,60,0.009788811206817627,0.0003,73940,3563.6716170310974,0.2,-0.008660549033811549,0.03545071,0.119970703125,71.39620971679688,-27.847960078716277,10.849576950073242
298.81,124928,452,276,619.24668019,61,0.0007345676422119141,0.0003,73950,3530.5587486863137,0.2,-0.0066632757399929686,0.031358454,0.106494140625,166.81381225585938,-27.8465705037117,10.85682487487793
298.81,126976,459,276,692.3875403299999,62,0.4127911329269409,0.0003,73960,4028.3955970048905,0.2,-0.0042869341443292795,0.0356346,0.140673828125,61.96299362182617,-27.84763577580452,10.893511772155762
298.81,129024,466,276,765.2223447799998,63,0.004936397075653076,0.0003,73970,4153.735718262195,0.2,-0.009009466949646595,0.027763145,0.11259765625,141.22459411621094,-27.849163925647737,10.928228378295898
298.81,131072,473,276,838.91149955,64,0.09173089265823364,0.0003,73980,4086.592694759369,0.2,-0.004780743701849133,0.04431764,0.14619140625,193.75094604492188,-27.855127847194673,10.90218734741211
298.81,133120,481,276,913.90692326,65,0.000376284122467041,0.0003,73990,4182.657505202294,0.2,-0.007024423171242233,0.034510978,0.13583984375,296.0859069824219,-27.846314918994903,10.911280632019043
